model,dataset,wer,model_model_name
whisper,podlodka,0.07587930034695063,openai/whisper-large-v3
qwen_audio,podlodka,0.42280870501891743,
gigaam,podlodka,0.0900924472
gemma,podlodka,0.23237698986046498,
t_one,podlodka,0.1354387257394058,
whisper,golos_farfield,0.20866311017826172,openai/whisper-large-v3
qwen_audio,golos_farfield,1.3873114259477897,
gigaam,golos_farfield,0.06935698981153528,
gemma,golos_farfield,1.207452592301077,
t_one,golos_farfield,0.13154197093591033,
whisper,rulibrispeech,0.10278651184946697,openai/whisper-large-v3
qwen_audio,rulibrispeech,0.6451614902183401,
gigaam,rulibrispeech,0.05694885359401362,
gemma,rulibrispeech,0.7193696830116254,
t_one,rulibrispeech,0.04818000552243055,
whisper,sova_rudevices,0.16230503603029164,openai/whisper-large-v3
qwen_audio,sova_rudevices,0.8665847061955988,
gigaam,sova_rudevices,0.10123097646082918,
gemma,sova_rudevices,0.8818744382153239,
t_one,sova_rudevices,0.12394833573649597,
whisper,fleurs,0.04310076122217637,openai/whisper-large-v3
qwen_audio,fleurs,0.3144735513157043,
gigaam,fleurs,0.08563982846486064,
gemma,fleurs,0.10847602416605308,
t_one,fleurs,0.11695001221702234,
whisper,resd,0.13213567681819727,openai/whisper-large-v3
qwen_audio,resd,0.6201261735947166,
gigaam,resd,0.181590372425242,
gemma,resd,1.7145385763476675,
t_one,resd,0.15710016983506014,
whisper,common_voice_17_0,0.12062785699149337,openai/whisper-large-v3
qwen_audio,common_voice_17_0,0.39867836989049105,
gigaam,common_voice_17_0,0.07735614553796373,
gemma,common_voice_17_0,1.3516685895473766,
t_one,common_voice_17_0,0.08837812019630202,
whisper,wikipedia_asr_splitted,0.0198138510140105,openai/whisper-large-v3
qwen_audio,wikipedia_asr_splitted,0.3679134828865326,
gigaam,wikipedia_asr_splitted,0.05425241412387744,
gemma,wikipedia_asr_splitted,0.3746726475183648,
t_one,wikipedia_asr_splitted,0.08446636160618085,
whisper,speech_massive,0.07189667795728402,openai/whisper-large-v3
qwen_audio,speech_massive,0.6796962577265608,
gigaam,speech_massive,0.05391213724547059,
gemma,speech_massive,1.2047160751706212,
t_one,speech_massive,0.09151107029894907,
whisper,rmndrnts_lena_dataset,0.026148701462581955,openai/whisper-large-v3
qwen_audio,rmndrnts_lena_dataset,0.5670657263520529,
gigaam,rmndrnts_lena_dataset,0.01570079742195222,
gemma,rmndrnts_lena_dataset,0.3120275741794529,
t_one,rmndrnts_lena_dataset,0.04035361897731515,
